term,home_ownership,grade,purpose,int_rate,addr_state,loan_status,application_type,loan_amnt,emp_length,annual_inc,dti,delinq_2yrs,revol_util,revol_bal,total_acc,num_tl_90g_dpd_24m,dti_joint,term_cleaned,emplen_cleaned,revolutil_cleaned,rev_avg,dti_cleaned,bad_loan
 36 months,RENT,G,other,30.84%,WA,Current,Individual,1000,6 years,31680,0,0,null,0,3,0,null, 36 ,6,43.76206961077844,43.76206961077844,0,No
 60 months,MORTGAGE,B,debt_consolidation,12.98%,NJ,Current,Individual,30000,10+ years,137000,12.87,0,65.20%,23162,31,0,null, 60 ,10,65,43.76206961077844,12.87,No
 60 months,MORTGAGE,A,credit_card,8.19%,MD,Current,Individual,17000,6 years,82000,15.57,0,25.80%,16693,17,0,null, 60 ,6,25,43.76206961077844,15.57,No
 36 months,RENT,B,debt_consolidation,10.72%,NJ,Current,Individual,3000,2 years,60000,12.46,1,39.10%,586,16,0,null, 36 ,2,39,43.76206961077844,12.46,No
 36 months,RENT,B,debt_consolidation,11.31%,IL,Current,Joint App,24000,2 years,74675,17.28,0,44%,18469,9,0,13.88, 36 ,2,44,43.76206961077844,17.28,No
 36 months,MORTGAGE,E,medical,23.40%,TX,Current,Individual,5000,10+ years,75000,8.16,0,51.80%,16274,13,0,null, 36 ,10,51,43.76206961077844,8.16,No
 36 months,MORTGAGE,A,debt_consolidation,8.19%,MI,Current,Individual,26000,n/a,88000,33.92,0,56.10%,8698,57,0,null, 36 ,,56,43.76206961077844,33.92,No
 36 months,MORTGAGE,B,other,11.80%,CA,Current,Individual,5000,10+ years,100000,17.88,2,17.20%,4093,29,0,null, 36 ,10,17,43.76206961077844,17.88,No
 36 months,RENT,C,debt_consolidation,16.14%,VA,Current,Individual,12400,n/a,25764,38.33,0,75.30%,10315,11,0,null, 36 ,,75,43.76206961077844,38.33,No
 60 months,MORTGAGE,C,debt_consolidation,16.14%,DE,Current,Individual,40000,10+ years,390000,9.14,0,73%,57115,28,0,null, 60 ,10,73,43.76206961077844,9.14,No
